processed_tweet,username
 listen its not like i chose to exist,sosadtoday
 kiss me like i have a life,sosadtoday
 these book are good,sosadtoday
 thank but ill be my own worst enemi,sosadtoday
 i dont understand how peopl just like live life,sosadtoday
 i alway think everyth bad is about me,sosadtoday
 in other news the first chapter of milk fed is now onlin,sosadtoday
 my dad ha been in the icu on a ventil for three week after he wa sever injur in a car accid i didnt want to tweet thi becaus its hi life but im too tire to tell peopl individu so there you go hi name is bob broder i love him,sosadtoday
 thi year suck,sosadtoday
 i like to be awak when im suppos to be sleep and asleep when im suppos to be awak,sosadtoday
 you need to love yourself listen if i knew how to love myself id be do it,sosadtoday
 be born is a lot of pressur,sosadtoday
 uk repres,sosadtoday
 there are two type of peopl and im isol from both of them,sosadtoday
these are dark dayme sinc birth,sosadtoday
 all i want for xma is valid from stranger,sosadtoday
 vogu say read milk fed febcool,sosadtoday
 i feel lone and weird,sosadtoday
 my heart is stupid,sosadtoday
 fuck everyth kind of,sosadtoday
 shhh listen it the sound of everyth get shittier,sosadtoday
 im insecur doe that turn you on,sosadtoday
 editori director of neg thought,sosadtoday
 yearend list im veri tire veri veri tire i cant get enough silenc love dark love close my eye,sosadtoday
 overwhelm by most thing,sosadtoday
 honor and grate that im go back to bed,sosadtoday
 levelsad be wash away by a deeper purer levelsad,sosadtoday
 who am i and whi,sosadtoday
 milk fed outget it,sosadtoday
 yell at the mirrorits your fault im like thi ,sosadtoday
 do thought and prayer work,sosadtoday
 feel doom,sosadtoday
 wake up rememb im a powerless speck of dust in an uncontrol world goe back to bed,sosadtoday
 obsess over a problem that doesnt exist,sosadtoday
 sorri but i dont want to do whats good for me,sosadtoday
 my attitud wa good for two minut,sosadtoday
 i want sex and to be alon,sosadtoday
 its nice to see your person is still fake and bore,sosadtoday
 not have a crush on anyon is go to kill me,sosadtoday
 im not good enough for me,sosadtoday
 no of cours im not go to relax and enjoy life,sosadtoday
 hobbi feel guilti for thing that arent my fault,sosadtoday
 fuck yeah i confus love with attract,sosadtoday
 on some level i must actual enjoy imagin the worst possibl outcom,sosadtoday
 i want to be more at peac with myself but also more hot,sosadtoday
 im annoy about someth but i forget what it is,sosadtoday
 be reject is goth,sosadtoday
 did u know thi account belong to a writer a human a human w feel a human w feel she tweet to avoid feel the writer ha a new book come out in feb call milk fed if you like these tweet want to support the human preorder it,sosadtoday
 oprah like milk fed,sosadtoday
 one book that isnt on here that is hottt is brontez purnelboyfriend out in feb,sosadtoday
 ok so thi list ha a lot of good shit girlhood by love other poem by and i didnt know that had new book also me,sosadtoday
 my wound child feel like your wound child is talk shit about her,sosadtoday
 shhh im heal my wound child,sosadtoday
 whisper dure sex im go back to therapi,sosadtoday
 gonna have to start social distanc on text too,sosadtoday
 love conquer all except unrequit love,sosadtoday
 no i cant stop apolog for my exist,sosadtoday
 rememb when i thought i knew you but i didnt know you at all,sosadtoday
 high on loneli,sosadtoday
 want to lay on a bathroom floor with you,sosadtoday
 i need to warn you that im go to be a disappoint,sosadtoday
 peac love and sad,sosadtoday
 i feel empti and insecur dot com,sosadtoday
on a scale ofhow big of a loser do you think i amme flirt,sosadtoday
 i feel like everyon is cosplay life,sosadtoday
 sad today,sosadtoday
 doesnt get a text within five second it all over for me,sosadtoday
 i have all the wrong cloth bodi and mind,sosadtoday
 i dont rememb ask to live in thi dimens,sosadtoday
 happi is cancel,sosadtoday
 i fall in love everi five second,sosadtoday
 i consid not take your advic a person success,sosadtoday
 some peopl believ in themselv so much its terrifi,sosadtoday
 never be enough is a lifes work,sosadtoday
 that which doe not kill you but make you project your insecur on everyth,sosadtoday
 no i dont have anifun weekend plan ,sosadtoday
 felt a feel so now i have to tweet,sosadtoday
 i should be back in therapi but im tweet instead,sosadtoday
 pre order my new book butthead,sosadtoday
 me the team of peopl judg me in my headhousehold,sosadtoday
 awak when im suppos to be sleep asleep when im suppos to be awak,sosadtoday
 oop total didnt mean to be emot honest,sosadtoday
 u want it,sosadtoday
 so not in the mood to stop lie to myself,sosadtoday
 i love give up,sosadtoday
 i will alway be here for you in a distract way,sosadtoday
 that empti look cute on you,sosadtoday
 i want to be an eleg scarfbandana tie jauntili at the neck but im a dirti dispos paper mask use for the th time with broken string,sosadtoday
 memori are tri to kill me,sosadtoday
 powerpoint present of my insecur,sosadtoday
 without download new pic whats it like date you,sosadtoday
 im fine ⃝,sosadtoday
